Workout Title,Category,Routine Link,Tables,Main Goal,Workout Type,Training Level,Program Duration,Days Per Week,Time Per Workout,Equipment Required,Target Gender,Recommended Supps
Get Yoked Like Thor: Complete Training And Diet Plan,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/yoked-thor-training-program-diet-plan,"[{'title': 'Phase 1', 'content': [[], ['Phase 1'], ['Exercise', 'Warm-up Sets', 'Work Sets', 'Rest (sec)'], ['Barbell Squat', '2x12', '3x6-8', '90'], ['Dumbbell Stiff Leg Deadlift', '1x12', '2x6-8', '60'], ['Standing Calf Raise', '1x12', '2x6-8', '60'], ['Incline Dumbbell Press', '2x12', '3x6-8', '60'], ['Medium Grip Pull Ups (warm up sets use Lat Pull Downs)', '2x12', '3x6-8', '60'], ['Seated Dumbbell Press', '1x12', '2x6-8', '60'], ['Barbell Curl', '1x12', '2x6-8', '60'], ['Parallel Bar Dips (warm up set using cable tricep extensions)', '1x12', '2x6-8', '60'], ['Floor Crunch', '', '3x20', '30']]}, {'title': 'Phase 1', 'content': [[], ['Phase 1'], ['Exercise', 'Warm-up Sets', 'Work Sets', 'Rest (sec)'], ['Leg Press', '2x12', '3x6-8', '90'], ['Lying or Seated Leg Curl', '1x12', '2x6-8', '60'], ['Seated Calf Raise', '1x12', '2x6-8', '60'], ['Barbell Flat Bench Press', '2x12', '3x6-8', '60'], ['Barbell Row', '2x12', '3x6-8', '60'], ['Standing Upright Row', '1x12', '2x6-8', '60'], ['Seated Dumbbell Curls', '1x12', '2x6-8', '60'], ['Lying Tricep Extension', '1x12', '2x6-8', '60'], ['Hanging Leg Raise', '', '3x20', '30']]}, {'title': 'Phase 1', 'content': [[], ['Phase 1'], ['Exercise', 'Warm-up Sets', 'Work Sets', 'Rest (sec)'], ['Front Squats', '2x12', '3x6-8', '90'], ['Barbell Romanian Deadlift', '1x12', '2x6-8', '60'], ['Leg Press Calf Raise', '1x12', '2x6-8', '60'], ['Incline Barbell Press', '2x12', '3x6-8', '60'], ['Dumbbell Row', '2x12', '3x6-8', '60'], ['Seated Dumbbell Side Lateral Raise', '1x12', '2x6-8', '60'], ['Incline Dumbbell Curl', '1x12', '2x6-8', '60'], ['Close-Grip Bench Press', '1x12', '2x6-8', '60'], ['3-Way Sit-Up', '', '3x20', '30']]}, {'title': 'Phase 2', 'content': [[], ['Phase 2'], ['Exercise', 'Warm-up Sets', 'Work Sets', 'Rest (sec)'], ['Incline Barbell Bench Press', '2x12', '3x8-10', '60'], ['Flat Dumbbell Bench Press', '', '3x8-10', '60'], ['Wide-Grip Pull-Up (warm up 2x12 on Lat Pull Downs)', '2x12', '3x8-10', '60'], ['Two-Arm Dumbbell Row', '', '3x8-10', '60'], ['Seated Dumbbell Shoulder Press', '1x12', '3x8-10', '60'], ['Standing Dumbbell Lateral Raise', '', '3x8-10', '60'], ['Floor Crunch', '', '3x20', '30'], ['Hanging Leg Raise', '', '3x20', '30']]}, {'title': 'Phase 2', 'content': [[], ['Phase 2'], ['Exercise', 'Warm-up Sets', 'Work Sets', 'Rest (sec)'], ['Barbell Curl', '2x12', '3x8-10', '60'], ['Lying Tricep Extension', '2x12', '3x8-10', '60'], ['Seated Calf Raise', '1x12', '3x8-10', '60'], ['Barbell Squat', '2x12', '3x8-10', '90'], ['Walking or Static Lunges', '', '3x8-10', '60'], ['Lying or Seated Leg Curl', '', '3x8-10', '60'], ['3-Way Sit-Up', '', '3x20', '30'], ['Lying Leg Raise', '', '3x20', '30']]}, {'title': 'Phase 2', 'content': [[], ['Phase 2'], ['Exercise', 'Warm-up Sets', 'Work Sets', 'Rest (sec)'], ['Incline Dumbbell Bench Press', '2x12', '3x8-10', '60'], ['Flat Barbell Bench Press', '', '3x8-10', '60'], ['Close-Grip Pull-Up', '2x12', '3x8-10', '60'], ['Barbell Row', '', '3x8-10', '60'], ['Standing Barbell Military Press', '1x12', '3x8-10', '60'], ['Wide-Grip Upright Row', '', '3x8-10', '60'], ['Floor Crunch', '', '3x20', '30'], ['Hanging Leg Raise', '', '3x20', '30']]}, {'title': 'Phase 2', 'content': [[], ['Phase 2'], ['Exercise', 'Warm-up Sets', 'Work Sets', 'Rest (sec)'], ['Standing Dumbbell Curl', '2x12', '3x8-10', '60'], ['Close-Grip Bench Press', '2x12', '3x8-10', '60'], ['Standing Calf Raise', '1x12', '3x8-10', '60'], ['Leg Extension', '2x12', '3x8-10', '60'], ['Leg Press', '1x12', '3x8-10', '90'], ['Romanian Deadlift', '', '3x8-10', '60'], ['3-Way Sit-Up', '', '3x20', '30'], ['Lying Leg Raise', '', '3x20', '30']]}, {'title': 'Phase 3', 'content': [[], ['Phase 3'], ['Exercise', 'Warm-up Sets', 'Work Sets', 'Rest (sec)'], ['Flat Barbell Bench Press', '2x12', '3x10-12', '45'], ['Incline Dumbbell Bench Press', '', '3x10-12', '45'], ['Flat Bench Dumbbell Fly', '', '3x10-12', '45'], ['Wide-Grip Pull-Up (warm up 2x12 on Lat Pull Downs)', '2x12', '3x10-12', '45'], ['Close-Grip Pulley Row', '', '3x10-12', '45'], ['One-Arm Dumbbell Row', '', '3x10-12', '45'], ['Incline Crunch', '', '3x20', '15'], ['Hanging Leg Raise', '', '3x20', '15']]}, {'title': 'Phase 3', 'content': [[], ['Phase 3'], ['Exercise', 'Warm-up Sets', 'Work Sets', 'Rest (sec)'], ['Standing Push Press', '2x12', '3x10-12', '45'], ['Standing Wide-Grip Upright Row', '', '3x10-12', '45'], ['Dumbbell Bent-Over Lateral Raise', '', '3x10-12', '45'], ['Dumbbell Shrug', '', '3x10-12', '45'], ['Incline Bench Curl', '2x12', '3x10-12', '45'], ['Standing EZ Bar Curl', '', '3x10-12', '45'], ['Cambered Bar Pressdown', '2x12', '3x10-12', '45'], ['Parallel Bar Dip', '', '3x10-12', '45'], ['Superset: 3-Way Sit-Up with Lying Leg Raise', '', '3x20', '']]}, {'title': 'Phase 3', 'content': [[], ['Phase 3'], ['Exercise', 'Warm-up Sets', 'Work Sets', 'Rest (sec)'], ['Standing Calf Raise', '2x12', '3x10-12', '45'], ['Seated Calf Raise', '', '3x10-12', '45'], ['Leg Press', '2x12', '3x10-12', '45'], ['Leg Extension', '', '3x10-12', '45'], ['Barbell Squat', '', '3x10-12', '60'], ['Romanian Deadlift', '1x12', '3x10-12', '45'], ['Seated Leg Curl', '', '3x10-12', '45']]}]",Lose Fat,Split,Advanced,8 weeks,5,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"Protein Powder, Fish Oil, Multivitamin, Fat Burner (Optional), Pre-Workout (Optional)"
Branch Warren's Pre Olympia Workout & Sample Diet Plan,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/branch-warren-olympia-workout-diet-plan,"[{'title': ""Branch Warren's Pre-Olympia Training Split"", 'content': [[], ['Back'], ['Exercise', 'Sets', 'Reps'], ['Incline T-Bar Row', '3', '10'], ['One Arm Dumbbell Row', '3', '8'], ['Barbell Row', '3', '8'], ['Lat Pull Down', '3', '15'], ['Seated Upright Row Machine', '3', '15'], ['Hammer Strength Pull Down', '3', '15'], ['Seated Low Cable Row', '3', '20'], ['Rear Delts On Pec Dec', '4', '10'], ['Bent Over Dumbbell Rear Laterals', '4', '10']]}, {'title': ""Branch Warren's Pre-Olympia Training Split"", 'content': [[], ['Chest'], ['Exercise', 'Sets', 'Reps'], ['Incline Bench Press', '2', 'Warmup'], ['', '3', '3x8-12'], ['Dumbbell Bench Press (Drop set on last set)', '3', '10'], ['Hammer Strength Incline Bench Press', '3', '10'], ['Weighted Dips w/Chains', '3', 'Failure'], ['Cable Crossover', '3', '15']]}, {'title': ""Branch Warren's Pre-Olympia Training Split"", 'content': [[], ['Arms'], ['Exercise', 'Sets', 'Reps'], ['Standing Dumbbell Curl', '3', '8'], ['Standing Barbell Curl', '3', '12'], ['Preacher Curl', '3', '12'], ['Tricep Pushdowns', '3', '15'], ['Seated Dip Machine', '3', '15'], ['Rope Triceps Pushdown', '4', '12']]}, {'title': ""Branch Warren's Pre-Olympia Training Split"", 'content': [[], ['Legs'], ['Exercise', 'Sets', 'Reps'], ['Leg Extensions', '2', '100'], ['Squat', '2', 'Light Sets'], ['', '2', 'Heavy Sets to Failure'], ['Hack Squat', '3', '10-15'], ['Leg Press', '3', '30'], ['Seated Leg Curl', '3', '15'], ['Standing Leg Curl', '3', '10'], ['Lying Leg Curl', '3', '12']]}, {'title': ""Branch Warren's Pre-Olympia Training Split"", 'content': [[], ['Lower Back and Shoulders'], ['Exercise', 'Sets', 'Reps'], ['Deadlift', '3-4', 'Warmup'], ['', '4-5', '5-8'], ['Military Press', '2', 'Warmup'], ['', '3', '10'], ['Squat', '3', '12'], ['Side Lateral', '3', '8-12'], ['Dumbbell Front Raise', '3', '8'], ['Upright Row', '3', '12']]}]",Build Muscle,Split,Intermediate,6 weeks,4,30-45 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"Protein Powder, Creatine, Mass Gainer (Optional)"
Tom Hardy Inspired Workout: Train Like Venom,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/tom-hardy-venom-workout,"[{'title': 'Tom Hardy Workout Day 1: Upper Focused', 'content': [[], ['1. Dumbbell Incline Bench Press', '2 x 10-15', '2 x 6-8'], ['2. Push Ups', '1 x 10', '2 x Failure'], ['3. Pull Ups', '1 x 10', '2 x Failure'], ['4. High Pull', '1 x 10-15', '2 x 5-8'], ['5. Cable Face Pulls', '-', '3 x 10'], ['6. Sit Ups', '-', '4 x 20']]}, {'title': 'Tom Hardy Workout Day 2: Lower Focused', 'content': [[], ['1. Squat', '2 x 10-15', '2 x 5-8'], ['2. Leg Press', '2 x 10-15', '2 x 6-8'], ['3. Leg Extension', '1 x 10', '2 x Failure'], ['4. Leg Curl', '1 x 10', '2 x Failure'], ['5. Calf Raise', '-', '4 x 20']]}, {'title': 'Tom Hardy Workout Day 3: Upper Focused', 'content': [[], ['1. Incline Bench Press', '2 x 10-15', '2 x 5-8'], ['2. Z Press', '2 x 10-15', '2 x 5-8'], ['3. Chin Ups', '1 x 10', '2 x Failure'], ['4. Hang Clean', '1 x 10-15', '2 x 5-8'], ['5. Seated Cable Row', '-', '3 x 10'], ['6. Hanging Leg Raise', '-', '4 x 15-20']]}, {'title': 'Tom Hardy Workout Day 4: Lower Focused', 'content': [[], ['1. Trap Bar Deadlift', '2 x 10-15', '2 x 5-8'], ['2. Hack Squat', '2 x 10-15', '2 x 6-8'], ['3. Glute Ham Raise', '1 x 10', '2 x Failure'], ['4. Bodyweight Lunge', '1 x 10', '2 x 15-20'], ['5. Calf Raise', '-', '4 x 20']]}, {'title': 'Tom Hardy Workout Day 5: Upper Focused', 'content': [[], ['1. Bent Over Barbell Row', '2 x 10-15', '2 x 5-8'], ['2. Floor Press', '2 x 10-15', '2 x 5-8'], ['3. Neutral Grip Pull Up', '1 x 10', '2 x Failure'], ['4. Push Press', '1 x 10', '2 x 5-8'], ['5. Inverted Row', '-', '3 x 10'], ['6. Plank', '-', '3 x 60 Secs']]}]",Build Muscle,Full Body,Beginner,8 weeks,3,30 minutes,"Bodyweight, Dumbbells",Male,"100% Whey Protein, Protein Bars (Optional), Multivitamin, Fish Oil"
Bodybuilding Icons: Charles Atlas Inspired Workout Routine,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/charles-atlas-workout,"[{'title': 'Dynamic Tension: Charles Atlas’ Training Philosophy', 'content': [[], ['2 Chair Press Up', '1', '10'], ['Finger Lock Chest Pull', '1', '10'], ['Good Morning with Leg Resistance', '1', '15'], ['Squat Thrusts', '1', '15'], ['Lateral Raise with Resistance', '1', '10'], ['Front Raise with Resistance', '1', '10'], ['Bicep Curl with Resistance', '1', '10'], ['Bicep Curl with Rear Resistance', '1', '10'], ['Tricep Pulldown with Resistance', '1', '10'], ['Tricep Pulldown across Chest with Resistance', '1', '10'], ['Prone Leg Raise', '1', '10'], ['Body Flex with Chair', '1', '10'], ['Cross Leg Squat', '1', '15'], ['Toe Raise Squat', '1', '15'], ['Stepped Toe Raise', '1', '20'], ['Heel Raise', '1', '20']]}, {'title': 'Dynamic Tension: Charles Atlas’ Training Philosophy', 'content': [[], ['Knee Bends', '1', '50'], ['Sit Ups', '1', '100'], ['Push Ups', '1', '300'], ['Jog*', '1', 'Appropriate Distance']]}, {'title': 'Dynamic Tension: Charles Atlas’ Training Philosophy', 'content': [[], ['Pushup (2 Sec Hold)', '1', '10'], ['Standing Chest Fly (2 Sec Hold)', '1', '10'], ['Row Squeeze (2 Sec Hold)', '1', '10'], ['Vertical Pull', '1', '10'], ['High Elbow Row', '1', '10'], ['Shoulder Press', '1', '10'], ['Bicep Curl (1 Sec Hold)', '1', '10'], ['Close Grip Push Up (1 Sec Hold)', '1', '10'], ['Squat', '1', '15'], ['Good Morning', '1', '15'], ['Seated Toe Raise', '1', '15'], ['Standing Calf Raise', '1', '15'], ['Crunch', '1', '10'], ['Single Lying Leg Raise', '1', '10 Each']]}]",Build Muscle,Split,Beginner,12 weeks,4,30-75 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"Protein Powder, Beta-Alanine, Citrulline Malate, Creatine, Multivitamin"
Dave Bautista Inspired Workout Program: Train Like Drax the Destroyer,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/dave-bautista-workout-program,"[{'title': 'Dave Bautista Workout Day 1: Back & Shoulders', 'content': [[], ['1. Bent Over Row', '5', '8-10'], ['2. Machine Pull Down', '4', '6-8'], ['3. One Arm Dumbbell Row', '4', '8-10 Each'], ['4. Machine Shoulder Press', '4', '6-8'], ['5a. Bent Over Lateral Raise', '3', '12'], ['5b. Machine Lateral Raise', '3', '12']]}, {'title': 'Dave Bautista Workout Day 2: Chest & Arms', 'content': [[], ['1. Machine Chest Press', '5', '10-12'], ['2. Incline Dumbbell Bench Press', '5', '10-12'], ['3a. Pec Deck', '4', '10-12'], ['3b. Push Up', '4', '15-20'], ['4. One Arm Tricep Extension', '3', '12-15 Each'], ['5. Preacher Curl', '4', '8-10'], ['6. Incline Dumbbell Curls', '3', '12-15']]}, {'title': 'Dave Bautista Workout Day 3: Legs', 'content': [[], ['1. Hack Squat', '5', '6-10'], ['2. Conventional Deadlift', '4', '6-8'], ['3. Leg Press', '4', '8-10'], ['4a. Lying Leg Curl', '3', '12-15'], ['4b. Leg Extension', '3', '12-15'], ['5a. Standing Calf Raise', '3', '12-15'], ['5b. Seated Calf Raise', '3', '12-15']]}, {'title': 'Dave Bautista Workout Day 5: Back & Shoulders', 'content': [[], ['1. Push Press', '5', '8-10'], ['2. Lateral Raise', '4', '10-12'], ['3. Face Pull', '3', '12-15'], ['4. Pull Up', '4', '8-10'], ['5. Machine Row', '4', '12-15'], ['6a. Straight Arm Pull Down', '3', '12-15'], ['6b. Cable Shrug', '3', '12-15']]}, {'title': 'Dave Bautista Workout Day 6: Chest & Arms', 'content': [[], ['1. Dumbbell Bench Press', '5', '8-10'], ['2. Incline Machine Bench Press', '4', '10-12'], ['3a. Cable Fly', '4', '12-15'], ['3b. Dips', '4', '8-10'], ['4. Skullcrusher', '4', '12-15'], ['5. Cable Curls', '4', '12-15']]}, {'title': 'Dave Bautista Workout Day 7: Legs', 'content': [[], ['1. Squat', '5', '6-10'], ['2. Romanian Deadlift', '4', '8-10'], ['3a. Standing Leg Curl', '3', '12-15'], ['3b. Bodyweight Squat', '3', '12-15'], ['4. Walking Lunge', '4', '20 Yards'], ['5. Calf Press', '3', '12-15']]}]",Build Muscle,Split,Intermediate,8 weeks,4,45-70 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,"Whey Protein, Creatine, Vitamin D, Fish Oil"
Bodybuilding Icons: John Grimek Inspired Workout,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/john-grimek-workout,"[{'title': 'Monday: John Grimek Full Body Workout', 'content': [[], ['Bench Press', '3', '10'], ['Chin Ups', '3', '10'], ['Military Press', '3', '10'], ['Barbell Curls', '3', '10'], ['Squats', '3', '10'], ['Standing Calf Raise', '3', '10']]}, {'title': 'Wednesday: John Grimek Full Body Workout', 'content': [[], ['Incline Bench Press', '3', '10'], ['Barbell Row', '3', '10'], ['Shrugs', '3', '10'], ['Single Arm Preacher Curl', '3', '10'], ['Leg Curl', '3', '10'], ['Sit Ups', '1', '50']]}, {'title': 'Friday: John Grimek Full Body Workout', 'content': [[], ['Pull Downs', '3', '10'], ['Military Press', '3', '10'], ['Incline Dumbbell Curl', '3', '10'], ['Front Squats', '3', '10'], ['Stiff Legged Deadlift', '3', '10']]}]",Build Muscle,Split,Intermediate,12 weeks,5,45-70 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,
Paul Rudd Inspired Workout: Over 40 & Ripped Like Ant-Man,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/paul-rudd-workout,"[{'title': 'Paul Rudd Ant-Man Workout A', 'content': [[], ['Front Squat', '5', '6'], ['Overhead Press', '5', '6'], ['Bent Over Row', '5', '6'], ['Push Up', '5', '8'], ['Romanian Deadlift', '5', '8'], ['Pull Up', '5', '8'], ['Plank', '5', '30 Secs']]}, {'title': 'Paul Rudd Ant-Man Workout B', 'content': [[], ['Trap Bar Deadlift', '5', '10'], ['Neutral Grip Chin Up', '5', '8'], ['Kettlebell Goblet Squat', '5', '10'], ['Kettlebell Row', '5', '10'], ['Kettlebell Swing', '5', '12'], ['Medicine Ball Slams', '5', '15']]}]",Increase Strength,Split,Beginner,8 weeks,5,60 minutes,"Barbell, Cables, Dumbbells, Machines",Male & Female,"Protein, Multivitamins, Creatine, BCAAs (optional)"
Bodybuilding Icons: Reg Park Inspired Workout & Training,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/reg-park-inspired-workout,"[{'title': 'Reg Park’s 5x5 Plan Phase 1', 'content': [[], ['1. 45 Degree Back Extension', '3', '10'], ['2. Squat', '5', '5'], ['3. Bench Press', '5', '5'], ['4. Deadlift', '5', '5']]}, {'title': 'Reg Park’s 5x5 Plan Phase 2', 'content': [[], ['1. 45 Degree Back Extension', '3', '10'], ['2. Front Squat', '5', '5'], ['3. Squat', '5', '5'], ['4. Bench Press', '5', '5'], ['5. Overhead Press', '5', '5'], ['6. Rack Pull', '5', '5'], ['7. Deadlift', '5', '5'], ['8. Standing Barbell Calf Raise', '5', '25']]}, {'title': 'Reg Park’s 5x5 Plan Phase 3', 'content': [[], ['1. 45 Degree Back Extension', '3', '10'], ['2. Front Squat', '5', '5'], ['3. Squat', '5', '5'], ['4. Bench Press', '5', '5'], ['5. Overhead Press', '5', '5'], ['6. Bent Over Row', '5', '5'], ['7. Deadlift', '5', '5'], ['8. Behind the Neck Shoulder Press', '5', '5'], ['9. Barbell Curl', '5', '5'], ['10. Lying Tricep Extension', '5', '8'], ['11. Standing Barbell Calf Raise', '5', '25']]}]",Lose Fat,Split,Intermediate,8 weeks,5,60-90 minutes,"Barbell, Cables, Dumbbells, EZ Bar, Medicine Ball",Male & Female,"Protein Powder, Vitamin D, ZMA"
Bodybuilding Icons: George Hackenschmidt Inspired Workout,https://www.muscleandstrength.com/workouts/celebrity,https://www.muscleandstrength.com/workouts/george-hackenschmidt-inspired-workout,"[{'title': 'George Hackenschmidt Workout Day 1: Chest, Shoulders, Triceps', 'content': [[], ['Bench Press', '5', '5'], ['Clean and Jerk', '3', '4-6'], ['Single Arm Dumbbell Shoulder Press', '3', '6-8'], ['Lateral Raise', '3', '8'], ['Close Grip Floor Press', '3', '8'], ['Triceps Pressdown', '3', '8']]}, {'title': 'George Hackenschmidt Workout Day 2: Lower Body', 'content': [[], ['Barbell Hack Squat', '5', '5'], ['Romanian Deadlift', '3', '4-6'], ['Leg Press', '3', '6-8'], ['Lying Leg Curl', '3', '8'], ['Seated Calf Raise', '3', '10'], ['Standing Calf Raise Machine', '3', '10']]}, {'title': 'George Hackenschmidt Workout Day 3: Back, Biceps, Abs', 'content': [[], ['Bent-Over Barbell Row', '5', '5'], ['Pull Up', '3', '6-8'], ['One Arm Row', '3', '8'], ['Rear Lateral Raise', '3', '8'], ['Barbell Curl', '3', '8'], ['Dumbbell Curl', '3', '8'], ['Hanging Leg Raise', '3', '10'], ['Plank', '3', '30-60 Secs']]}]",Build Muscle,Split,Advanced,12 weeks,4,50-75 minutes,"Bands, Barbell, Bodyweight, Cables, Dumbbells, Exercise Ball, Machines",Male,"Protein Powder, Creatine Monohydrate, Beta-Alanine, Fish Oil, Vitamin D"
Build the Best Glutes in Your Gym with These 3 Workouts,https://www.muscleandstrength.com/workouts/other,https://www.muscleandstrength.com/workouts/myers-glute-workout,"[{'title': 'Workout #1', 'content': [[], ['1. Sumo Deadlift', '5', '8'], ['2a. Walking Lunges', '5', '10 each leg (w/ 1/4 rep at bottom)'], ['2b. Glute Bridge', '5', '10 (w/ 3 sec pause)'], ['3a. Body Squats', '4', '25'], ['3b. Treadmill Walk', '4', '1 min (15% incline, 3-4mph)'], ['3c. Hamstring Bridge', '4', '5 each leg (w/ 3 sec pause)'], ['3d. Treadmill Walk', '4', '1 min (15% incline, 3-4mph)']]}, {'title': 'Workout #2', 'content': [[], ['1. Back Squat', '6', '12, 10, 8, 6, 4, 2'], ['2a. Bulgarian Split Squats', '5', '5 each (w/ 3 sec pause)'], ['2b. Pistol Squat', '5', '10 each leg'], ['2c. Booty Lunges', '5', '20 ""1/4"" reps on a step'], ['3a. Sled or Cable Pull Through', '3', '15'], ['3b. Stairmaster or Stairstepper', '1', '20 min']]}, {'title': 'Workout #3', 'content': [[], ['1. Walking Lunges', '3', '5'], ['2a. Dumbbell Step Ups', '3', '8 each leg'], ['2b. Booty Bands', '3', '25 each leg'], ['3a. Goblet Sumo Squat', '3', '12'], ['3b. Single Leg Glute Bridge', '3', '5 each leg'], ['4. Walking Lunges (bodyweight)', '1', '10 min']]}]",Build Muscle,Split,Intermediate,12 weeks,5,45-60 minutes,"Barbell, Cables, Dumbbells, Machines",Male,"Protein Powder, Casein Protein, Weight Gainer/MRP, Creatine Monohydrate"
RP-21 Glute Building Workout Program,https://www.muscleandstrength.com/workouts/other,https://www.muscleandstrength.com/workouts/rp-21-glute-workout-program,"[{'title': 'The Romanian Deadlift', 'content': [[], ['1. Dynamic Warm Up', '-', '5 Mins'], ['2. Mobility Work', '-', '5 Mins'], ['3. Deadlift', '7', '3'], ['4a. Barbell Hip Thrust', '6', '5'], ['4b. Romanian Deadlift', '6', '5'], ['5. Seated Calf Raise', '6', '12']]}]",Build Muscle,Split,Intermediate,8 weeks,5,45-60 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male & Female,"Protein Powder, Creatine Monohydrate, Multivitamin, Weight Gainer (optional), Pre-Workout (optional)"
Dumbbell Only Workout: 3 Day Full Body Dumbbell Workout,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/3-day-full-body-dumbbell-workout,"[{'title': 'Day 1', 'content': [[], ['1. Dumbbell Squat', '3', '10'], ['2. Dumbbell Stiff Legged Deadlift', '3', '10'], ['3. Bent Over Dumbbell Row', '3', '10'], ['4. Dumbbell Bench Press', '3', '10'], ['5. Lateral Raises', '2', '8'], ['6. Standing Dumbbell Curl', '2', '8'], ['7. Lying Dumbbell Extension', '2', '8']]}, {'title': 'Day 2', 'content': [[], ['1. Dumbbell Lunge', '3', '10'], ['2. Dumbbell Hamstring Curl', '3', '10'], ['3. Dumbbell Deadlift', '3', '10'], ['4. Dumbbell Military Press', '3', '10'], ['5. Dumbbell Flys', '2', '8'], ['6. Hammer Curl', '2', '8'], ['7. Seated Dumbbell Extension', '2', '8']]}, {'title': 'Day 3', 'content': [[], ['1. Dumbbell Step Up', '3', '10'], ['2. Dumbbell Stiff Legged Deadlift', '3', '10'], ['3. One Arm Dumbbell Row', '3', '10'], ['4. Reverse Grip Dumbbell Press', '3', '10'], ['5. Dumbbell Rear Delt Fly', '2', '8'], ['6. Zottman Curl', '2', '8'], ['7. Close Grip Dumbbell Press', '2', '8']]}]",Build Muscle,Split,Intermediate,12 weeks,5,60-90 minutes,"Barbell, Bodyweight, Cables, Dumbbells, Machines",Male & Female,"Whey Protein, Casein Protein, Multivitamin, Fish Oil, Creatine"
3 Day Full Body Planet Fitness Workout (Machines & Dumbbells Only),https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/3-day-full-body-planet-fitness-workout,"[{'title': 'Planet Fitness Full Body Workout Day 1', 'content': [[], ['1. Goblet Squat', '4', '8-12'], ['2. Lying Leg Curl', '3', '10-15'], ['3. Standing Calf Raise', '2', '15-20'], ['4. Dumbbell Row', '4', '8-12'], ['5. Lat Pull Down', '3', '10-15'], ['6. Incline Dumbbell Bench Press', '4', '8-12'], ['7. Lateral Raise', '3', '10-15']]}, {'title': 'Planet Fitness Full Body Workout Day 2', 'content': [[], ['1. Dumbbell Stiff Leg Deadlift', '4', '8-12'], ['2. Leg Extension', '3', '10-15'], ['3. Assisted Pull Up Machine', '4', '8-12'], ['4. Seated Cable Row', '3', '10-15'], ['5. Seated Dumbbell Press', '4', '8-12'], ['6. Dumbbell Bench Press', '3', '10-15'], ['7. Skullcrusher', '3', '8-12'], ['8. Dumbbell Curl', '3', '8-12']]}, {'title': 'Planet Fitness Full Body Workout Day 3', 'content': [[], ['1. Leg Press', '4', '8-12'], ['2. Walking Lunge', '3', '10-15 Each'], ['3. Standing Calf Raise', '2', '15-20'], ['4. Smith Machine Row', '4', '8-12'], ['5. Cable Face Pull', '3', '10-15'], ['6. Push Up', '3', '10-15'], ['7. Close Grip Push Up', '3', '8-12'], ['8. Cable Curl', '3', '8-12']]}]",Build Muscle,Split,Intermediate,4 weeks,4,90 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male,"Whey Protein Powder, Intra-Workout BCAAs, Creatine, Pre-Workout (optional), Good Multivitamin"
3 Day Muscle Building Workout For Beginners,https://www.muscleandstrength.com/workouts/beginner,https://www.muscleandstrength.com/workouts/3day-beginners-workout.html,"[{'title': 'Monday - Chest and Triceps', 'content': [[], ['Dumbbell Bench Press', '4', '12,10,10,10'], ['Incline Bench Press', '2', '10'], ['Tricep Dip', '3', 'Failure'], ['Lying Tricep Extension', '3', '10']]}, {'title': 'Wednesday - Back and Biceps', 'content': [[], ['Wide Grip Pull Up', '4', '10'], ['Seated Row', '3', '12'], ['One Arm Dumbbell Row', '3', '10'], ['Standing Barbell Curl', '3', '8-10']]}, {'title': 'Friday - Legs and Shoulders', 'content': [[], ['45 Degree Leg Press', '4', '12,10,10,10'], ['Leg Extension', '3', '12'], ['Leg Curl', '3', '12'], ['Military Press', '4', '8-10'], ['Dumbbell Lateral Raise', '3', '10']]}]",Build Muscle,Split,Intermediate,12 weeks,5,60-90 minutes,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines",Male,"Protein Powder, Creatine Monohydrate, Multivitamin, Pre-Workout (optional)"
